A,B,Longitude,Latitude,Satellite,Value,G,H,I,J,K
1212,9.67E+14,82.938,25.267,F10199301011215.WB.OIS.vis.tif,255,1212,F101993,1,1,1215
1212,9.67E+14,82.938,25.267,F10199301011249.WB.OIS.vis.tif,255,1212,F101993,1,1,1249
1212,9.67E+14,82.938,25.267,F10199301011356.WB.OIS.vis.tif,7,1212,F101993,1,1,1356
1212,9.67E+14,82.938,25.267,F10199301011429.WB.OIS.vis.tif,7,1212,F101993,1,1,1429
1212,9.67E+14,82.938,25.267,F10199301011536.WB.OIS.vis.tif,255,1212,F101993,1,1,1536
1212,9.67E+14,82.938,25.267,F10199301011610.WB.OIS.vis.tif,255,1212,F101993,1,1,1610
1212,9.67E+14,82.938,25.267,F10199301031253.WB.OIS.vis.tif,255,1212,F101993,1,3,1253
1212,9.67E+14,82.938,25.267,F10199301031326.WB.OIS.vis.tif,255,1212,F101993,1,3,1326
1212,9.67E+14,82.938,25.267,F10199301031433.WB.OIS.vis.tif,6,1212,F101993,1,3,1433
1212,9.67E+14,82.938,25.267,F10199301031507.WB.OIS.vis.tif,6,1212,F101993,1,3,1507
1212,9.67E+14,82.938,25.267,F10199301031614.WB.OIS.vis.tif,255,1212,F101993,1,3,1614
1212,9.67E+14,82.938,25.267,F10199301031648.WB.OIS.vis.tif,255,1212,F101993,1,3,1648
1212,9.67E+14,82.938,25.267,F10199301041221.WB.OIS.vis.tif,255,1212,F101993,1,4,1221
1212,9.67E+14,82.938,25.267,F10199301041402.WB.OIS.vis.tif,5,1212,F101993,1,4,1402
1212,9.67E+14,82.938,25.267,F10199301041543.WB.OIS.vis.tif,255,1212,F101993,1,4,1543
1212,9.67E+14,82.938,25.267,F10199301051330.WB.OIS.vis.tif,7,1212,F101993,1,5,1330
1212,9.67E+14,82.938,25.267,F10199301061259.WB.OIS.vis.tif,255,1212,F101993,1,6,1259
1212,9.67E+14,82.938,25.267,F10199301061440.WB.OIS.vis.tif,10,1212,F101993,1,6,1440
1212,9.67E+14,82.938,25.267,F10199301061620.WB.OIS.vis.tif,255,1212,F101993,1,6,1620
1212,9.67E+14,82.938,25.267,F10199301071227.WB.OIS.vis.tif,255,1212,F101993,1,7,1227
1212,9.67E+14,82.938,25.267,F10199301081156.WB.OIS.vis.tif,255,1212,F101993,1,8,1156
1212,9.67E+14,82.938,25.267,F10199301081337.WB.OIS.vis.tif,15,1212,F101993,1,8,1337
1212,9.67E+14,82.938,25.267,F10199301081517.WB.OIS.vis.tif,16,1212,F101993,1,8,1517
1212,9.67E+14,82.938,25.267,F10199301091305.WB.OIS.vis.tif,255,1212,F101993,1,9,1305
1212,9.67E+14,82.938,25.267,F10199301091446.WB.OIS.vis.tif,24,1212,F101993,1,9,1446
1212,9.67E+14,82.938,25.267,F10199301091626.WB.OIS.vis.tif,255,1212,F101993,1,9,1626
1212,9.67E+14,82.938,25.267,F10199301101234.WB.OIS.vis.tif,255,1212,F101993,1,10,1234
1212,9.67E+14,82.938,25.267,F10199301101414.WB.OIS.vis.tif,6,1212,F101993,1,10,1414
1212,9.67E+14,82.938,25.267,F10199301111202.WB.OIS.vis.tif,255,1212,F101993,1,11,1202
1212,9.67E+14,82.938,25.267,F10199301111343.WB.OIS.vis.tif,7,1212,F101993,1,11,1343
1212,9.67E+14,82.938,25.267,F10199301111523.WB.OIS.vis.tif,255,1212,F101993,1,11,1523
1212,9.67E+14,82.938,25.267,F10199301121311.WB.OIS.vis.tif,255,1212,F101993,1,12,1311
1212,9.67E+14,82.938,25.267,F10199301121452.WB.OIS.vis.tif,8,1212,F101993,1,12,1452
1212,9.67E+14,82.938,25.267,F10199301131240.WB.OIS.vis.tif,255,1212,F101993,1,13,1240
1212,9.67E+14,82.938,25.267,F10199301131420.WB.OIS.vis.tif,7,1212,F101993,1,13,1420
1212,9.67E+14,82.938,25.267,F10199301131601.WB.OIS.vis.tif,255,1212,F101993,1,13,1601
1212,9.67E+14,82.938,25.267,F10199301141208.WB.OIS.vis.tif,255,1212,F101993,1,14,1208
1212,9.67E+14,82.938,25.267,F10199301141349.WB.OIS.vis.tif,12,1212,F101993,1,14,1349
1212,9.67E+14,82.938,25.267,F10199301141529.WB.OIS.vis.tif,255,1212,F101993,1,14,1529
1212,9.67E+14,82.938,25.267,F10199301151317.WB.OIS.vis.tif,7,1212,F101993,1,15,1317
1212,9.67E+14,82.938,25.267,F10199301151458.WB.OIS.vis.tif,12,1212,F101993,1,15,1458
1212,9.67E+14,82.938,25.267,F10199301161246.WB.OIS.vis.tif,255,1212,F101993,1,16,1246
1212,9.67E+14,82.938,25.267,F10199301161607.WB.OIS.vis.tif,255,1212,F101993,1,16,1607
1212,9.67E+14,82.938,25.267,F10199301171214.WB.OIS.vis.tif,255,1212,F101993,1,17,1214
1212,9.67E+14,82.938,25.267,F10199301171355.WB.OIS.vis.tif,10,1212,F101993,1,17,1355
1212,9.67E+14,82.938,25.267,F10199301181323.WB.OIS.vis.tif,12,1212,F101993,1,18,1323
1212,9.67E+14,82.938,25.267,F10199301181504.WB.OIS.vis.tif,16,1212,F101993,1,18,1504
1212,9.67E+14,82.938,25.267,F10199301191252.WB.OIS.vis.tif,255,1212,F101993,1,19,1252
1212,9.67E+14,82.938,25.267,F10199301191432.WB.OIS.vis.tif,11,1212,F101993,1,19,1432
1212,9.67E+14,82.938,25.267,F10199301191613.WB.OIS.vis.tif,255,1212,F101993,1,19,1613
1212,9.67E+14,82.938,25.267,F10199301201220.WB.OIS.vis.tif,255,1212,F101993,1,20,1220
1212,9.67E+14,82.938,25.267,F10199301201401.WB.OIS.vis.tif,9,1212,F101993,1,20,1401
1212,9.67E+14,82.938,25.267,F10199301201541.WB.OIS.vis.tif,255,1212,F101993,1,20,1541
1212,9.67E+14,82.938,25.267,F10199301211329.WB.OIS.vis.tif,9,1212,F101993,1,21,1329
1212,9.67E+14,82.938,25.267,F10199301211510.WB.OIS.vis.tif,14,1212,F101993,1,21,1510
1212,9.67E+14,82.938,25.267,F10199301221258.WB.OIS.vis.tif,255,1212,F101993,1,22,1258
1212,9.67E+14,82.938,25.267,F10199301221438.WB.OIS.vis.tif,11,1212,F101993,1,22,1438
1212,9.67E+14,82.938,25.267,F10199301221619.WB.OIS.vis.tif,255,1212,F101993,1,22,1619
1212,9.67E+14,82.938,25.267,F10199301231226.WB.OIS.vis.tif,255,1212,F101993,1,23,1226
1212,9.67E+14,82.938,25.267,F10199301231407.WB.OIS.vis.tif,6,1212,F101993,1,23,1407
1212,9.67E+14,82.938,25.267,F10199301231548.WB.OIS.vis.tif,255,1212,F101993,1,23,1548
